time,key,value,table
2020-05-02T22:42:16Z,Total cases,293,rls
2020-05-02T22:42:16Z,Val-des-Monts,5,areas
2020-05-03T23:07:00Z,Active cases,133,rls
2020-05-03T23:07:00Z,Blue Sea,5,areas
2020-05-03T23:07:00Z,Cantley,5,areas
2020-05-03T23:07:00Z,Fassett,5,areas
2020-05-03T23:07:00Z,Gatineau,221,areas
2020-05-03T23:07:00Z,Healed/resolved cases,169,rls
2020-05-03T23:07:00Z,L'Ange-Gardien,5,areas
2020-05-03T23:07:00Z,La Pêche,5,areas
2020-05-03T23:07:00Z,Lac-des-Plages,5,areas
2020-05-03T23:07:00Z,Maniwaki,5,areas
2020-05-03T23:07:00Z,MRC du Pontiac,5,areas
2020-05-03T23:07:00Z,Notre-Dame-de-Bonsecours,5,areas
2020-05-03T23:07:00Z,Papineauville,5,areas
2020-05-03T23:07:00Z,Ripon,5,areas
2020-05-03T23:07:00Z,RLS de Gatineau,241,rls
2020-05-03T23:07:00Z,RLS de la Vallée-de-la-Gatineau,5,rls
2020-05-03T23:07:00Z,RLS de Papineau,35,rls
2020-05-03T23:07:00Z,RLS des Collines-de-l'Outaouais,12,rls
2020-05-03T23:07:00Z,RLS du Pontiac,5,rls
2020-05-03T23:07:00Z,Saint-André-Avellin,7,areas
2020-05-03T23:07:00Z,Saint-Sixte,5,areas
2020-05-03T23:07:00Z,To be determined,31,areas
2020-05-03T23:07:00Z,To be determined,8,rls
2020-05-03T23:07:00Z,Total cases,302,areas
2020-05-03T23:07:00Z,Total cases,293,rls
2020-05-03T23:07:00Z,Val-des-Monts,5,areas
2020-05-05T02:01:38Z,Active cases,133,rls
2020-05-05T02:01:38Z,Blue Sea,5,areas
2020-05-05T02:01:38Z,Cantley,5,areas
2020-05-05T02:01:38Z,Fassett,5,areas
2020-05-05T02:01:38Z,Gatineau,221,areas
2020-05-05T02:01:38Z,Healed/resolved cases,171,rls
2020-05-05T02:01:38Z,L'Ange-Gardien,5,areas
2020-05-05T02:01:38Z,La Pêche,5,areas
2020-05-05T02:01:38Z,Lac-des-Plages,5,areas
2020-05-05T02:01:38Z,Maniwaki,5,areas
2020-05-05T02:01:38Z,MRC du Pontiac,5,areas
2020-05-05T02:01:38Z,Notre-Dame-de-Bonsecours,5,areas
2020-05-05T02:01:38Z,Papineauville,5,areas
2020-05-05T02:01:38Z,Ripon,5,areas
2020-05-05T02:01:38Z,RLS de Gatineau,242,rls
2020-05-05T02:01:38Z,RLS de la Vallée-de-la-Gatineau,5,rls
2020-05-05T02:01:38Z,RLS de Papineau,35,rls
2020-05-05T02:01:38Z,RLS des Collines-de-l'Outaouais,12,rls
2020-05-05T02:01:38Z,RLS du Pontiac,5,rls
2020-05-05T02:01:38Z,Saint-André-Avellin,7,areas
2020-05-05T02:01:38Z,Saint-Sixte,5,areas
2020-05-05T02:01:38Z,To be determined,31,areas
2020-05-05T02:01:38Z,To be determined,9,rls
2020-05-05T02:01:38Z,Total cases,302,areas
2020-05-05T02:01:38Z,Total cases,304,rls
2020-05-05T02:01:38Z,Val-des-Monts,5,areas
2020-05-06T03:46:56Z,Active cases,139,rls
2020-05-06T03:46:56Z,Blue Sea,5,areas
2020-05-06T03:46:56Z,Cantley,5,areas
2020-05-06T03:46:56Z,Fassett,5,areas
2020-05-06T03:46:56Z,Gatineau,262,areas
2020-05-06T03:46:56Z,Healed/resolved cases,173,rls
2020-05-06T03:46:56Z,L'Ange-Gardien,8,areas
2020-05-06T03:46:56Z,La Pêche,5,areas
2020-05-06T03:46:56Z,Lac-des-Plages,5,areas
2020-05-06T03:46:56Z,Maniwaki,5,areas
2020-05-06T03:46:56Z,Montebello,5,areas
2020-05-06T03:46:56Z,MRC du Pontiac,5,areas
2020-05-06T03:46:56Z,Papineauville,5,areas
2020-05-06T03:46:56Z,Plaisance,5,areas
2020-05-06T03:46:56Z,Ripon,5,areas
2020-05-06T03:46:56Z,RLS de Gatineau,249,rls
2020-05-06T03:46:56Z,RLS de la Vallée-de-la-Gatineau,5,rls
2020-05-06T03:46:56Z,RLS de Papineau,35,rls
2020-05-06T03:46:56Z,RLS des Collines-de-l'Outaouais,12,rls
2020-05-06T03:46:56Z,RLS du Pontiac,5,rls
2020-05-06T03:46:56Z,Saint-André-Avellin,7,areas
2020-05-06T03:46:56Z,Thurso,5,areas
2020-05-06T03:46:56Z,To be determined,7,areas
2020-05-06T03:46:56Z,To be determined,7,rls
2020-05-06T03:46:56Z,Total cases,312,areas
2020-05-06T03:46:56Z,Total cases,312,rls
2020-05-06T03:46:56Z,Val-des-Monts,7,areas
2020-05-07T06:41:47Z,Active cases,145,rls
2020-05-07T06:41:47Z,Blue Sea,5,areas
2020-05-07T06:41:47Z,Cantley,5,areas
2020-05-07T06:41:47Z,Fassett,5,areas
2020-05-07T06:41:47Z,Gatineau,262,areas
2020-05-07T06:41:47Z,Healed/resolved cases,173,rls
2020-05-07T06:41:47Z,L'Ange-Gardien,8,areas
2020-05-07T06:41:47Z,La Pêche,5,areas
2020-05-07T06:41:47Z,Lac-des-Plages,5,areas
2020-05-07T06:41:47Z,Maniwaki,5,areas
2020-05-07T06:41:47Z,Montebello,5,areas
2020-05-07T06:41:47Z,MRC du Pontiac,5,areas
2020-05-07T06:41:47Z,Papineauville,5,areas
2020-05-07T06:41:47Z,Plaisance,5,areas
2020-05-07T06:41:47Z,Ripon,5,areas
2020-05-07T06:41:47Z,RLS de Gatineau,254,rls
2020-05-07T06:41:47Z,RLS de la Vallée-de-la-Gatineau,5,rls
2020-05-07T06:41:47Z,RLS de Papineau,36,rls
2020-05-07T06:41:47Z,RLS des Collines-de-l'Outaouais,12,rls
2020-05-07T06:41:47Z,RLS du Pontiac,5,rls
2020-05-07T06:41:47Z,Saint-André-Avellin,7,areas
2020-05-07T06:41:47Z,Thurso,5,areas
2020-05-07T06:41:47Z,To be determined,13,areas
2020-05-07T06:41:47Z,To be determined,10,rls
2020-05-07T06:41:47Z,Total cases,318,areas
2020-05-07T06:41:47Z,Total cases,318,rls
2020-05-07T06:41:47Z,Val-des-Monts,7,areas
2020-05-08T01:24:49Z,Active cases,145,rls
2020-05-08T01:24:49Z,Blue Sea,5,areas
2020-05-08T01:24:49Z,Cantley,5,areas
2020-05-08T01:24:49Z,Fassett,5,areas
2020-05-08T01:24:49Z,Gatineau,262,areas
2020-05-08T01:24:49Z,Healed/resolved cases,177,rls
2020-05-08T01:24:49Z,L'Ange-Gardien,8,areas
2020-05-08T01:24:49Z,La Pêche,5,areas
2020-05-08T01:24:49Z,Lac-des-Plages,5,areas
2020-05-08T01:24:49Z,Maniwaki,5,areas
